C_in,C_out,Tile,Fused,MultiCore,Mean_Latency_ms,Median_Latency_ms,StdDev_ms,CI95_ms,P_Value_vs_Baseline,Effect_Direction,Improvement_vs_Baseline_pct,Runs
16,32,"F(6,3)",False,False,0.5893,0.5736,0.0382,0.0127,N/A,N/A,N/A,35
16,32,"F(6,3)",True,False,0.7011,0.6642,0.0952,0.0315,6.970274264937159e-08,Slower,-18.97,35
16,32,"F(6,3)",False,True,0.5951,0.5748,0.0488,0.0162,0.581383099364038,Slower,-0.99,35
16,32,"F(6,3)",True,True,0.7033,0.6615,0.0881,0.0292,8.06197286019887e-09,Slower,-19.35,35
32,16,"F(4,3)",False,False,0.8836,0.8649,0.043,0.0142,N/A,N/A,N/A,35
32,16,"F(4,3)",True,False,1.0584,1.0331,0.0768,0.0255,< 1e-10,Slower,-19.78,35
32,16,"F(4,3)",False,True,0.8835,0.8586,0.0554,0.0184,0.9925040453606218,Faster,0.01,35
32,16,"F(4,3)",True,True,1.0667,1.027,0.0872,0.0289,< 1e-10,Slower,-20.72,35
32,32,"F(4,3)",False,False,2.6096,2.6129,0.0844,0.0279,N/A,N/A,N/A,35
32,32,"F(4,3)",True,False,2.4841,2.4307,0.1171,0.0388,2.9029642115222867e-06,Faster,4.81,35
32,32,"F(4,3)",False,True,2.6248,2.6249,0.0897,0.0297,0.4695696671782503,Slower,-0.58,35
32,32,"F(4,3)",True,True,2.4951,2.4892,0.0895,0.0296,6.019350626593482e-07,Faster,4.39,35
32,64,"F(4,3)",False,False,7.8417,7.7753,0.2131,0.0706,N/A,N/A,N/A,35
32,64,"F(4,3)",True,False,6.5812,6.5587,0.1991,0.0659,< 1e-10,Faster,16.07,35
32,64,"F(4,3)",False,True,7.8869,7.8646,0.1969,0.0652,0.3602633730075776,Slower,-0.58,35
32,64,"F(4,3)",True,True,6.5515,6.531,0.1513,0.0501,< 1e-10,Faster,16.45,35
64,32,"F(4,3)",False,False,3.9233,3.8879,0.1497,0.0496,N/A,N/A,N/A,35
64,32,"F(4,3)",True,False,3.403,3.3675,0.1614,0.0535,< 1e-10,Faster,13.26,35
64,32,"F(4,3)",False,True,4.115,3.9653,0.6516,0.2159,0.09807977162160636,Slower,-4.89,35
64,32,"F(4,3)",True,True,3.4319,3.3725,0.2088,0.0692,< 1e-10,Faster,12.52,35
64,64,"F(4,3)",False,False,12.7575,12.72,0.1605,0.0532,N/A,N/A,N/A,35
64,64,"F(4,3)",True,False,9.2261,9.1868,0.1994,0.066,< 1e-10,Faster,27.68,35
64,64,"F(4,3)",False,True,12.7991,12.7066,0.4087,0.1354,0.5782986262945953,Slower,-0.33,35
64,64,"F(4,3)",True,True,9.2662,9.1636,0.2581,0.0855,< 1e-10,Faster,27.37,35
128,128,"F(4,3)",False,False,81.8651,80.8154,3.8663,1.2809,N/A,N/A,N/A,35
128,128,"F(4,3)",True,False,49.7895,49.035,2.5547,0.8464,< 1e-10,Faster,39.18,35
128,128,"F(4,3)",False,True,81.2322,80.9988,1.4669,0.486,0.370189611719284,Faster,0.77,35
128,128,"F(4,3)",True,True,48.9314,48.649,1.0026,0.3322,< 1e-10,Faster,40.23,35
