mode,c_in,c_out,h,w,tile_dim,fused,threads,run_id,latency_ms
micro,16,32,14,14,6,True,4,0,17.49779200326884
micro,16,32,14,14,6,True,4,1,25.380749997566454
micro,16,32,14,14,6,True,4,2,28.754792001564056
micro,16,32,14,14,6,True,4,3,26.81266700528795
micro,16,32,14,14,6,True,4,4,31.26845899532782
micro,16,32,14,14,6,True,4,5,33.024040996679105
micro,16,32,14,14,6,True,4,6,37.01529100362677
micro,16,32,14,14,6,True,4,7,41.78170899831457
micro,16,32,14,14,6,True,4,8,45.454125000105705
micro,16,32,14,14,6,True,4,9,46.757500000239816
micro,16,32,14,14,6,True,4,10,50.49225000402657
micro,16,32,14,14,6,True,4,11,54.33808299858356
micro,16,32,14,14,6,True,4,12,60.01454099896364
micro,16,32,14,14,6,True,4,13,63.87658399762586
micro,16,32,14,14,6,True,4,14,67.28558400209295
micro,16,32,14,14,6,True,4,15,70.64787499984959
micro,16,32,14,14,6,True,4,16,73.72158299403964
micro,16,32,14,14,6,True,4,17,78.62245800060919
micro,16,32,14,14,6,True,4,18,82.81745800195495
micro,16,32,14,14,6,True,4,19,88.21754199743737
micro,16,32,14,14,6,True,4,20,88.88437499990687
micro,16,32,14,14,6,True,4,21,92.84800000023097
micro,16,32,14,14,6,True,4,22,95.52466699824436
micro,16,32,14,14,6,True,4,23,98.71391699562082
micro,16,32,14,14,6,True,4,24,136.23808400006965
micro,16,32,14,14,6,True,4,25,138.4412080005859
micro,16,32,14,14,6,True,4,26,111.06675000337418
micro,16,32,14,14,6,True,4,27,111.9522919980227
micro,16,32,14,14,6,True,4,28,114.84866699902341
micro,16,32,14,14,6,True,4,29,117.3385000001872
micro,32,64,14,14,4,True,4,0,1202.8717499997583
micro,32,64,14,14,4,True,4,1,1375.2303749934072
micro,32,64,14,14,4,True,4,2,1530.2471670001978
micro,32,64,14,14,4,True,4,3,1679.6389169976464
micro,32,64,14,14,4,True,4,4,1758.9039999948
micro,32,64,14,14,4,True,4,5,1856.9758329977049
micro,32,64,14,14,4,True,4,6,2019.1423750002286
micro,32,64,14,14,4,True,4,7,2163.675957999658
micro,32,64,14,14,4,True,4,8,2322.8158750061993
micro,32,64,14,14,4,True,4,9,2427.5635829981184
micro,32,64,14,14,4,True,4,10,2592.224708998401
micro,32,64,14,14,4,True,4,11,2696.7027080027037
micro,32,64,14,14,4,True,4,12,2857.2385829975246
micro,32,64,14,14,4,True,4,13,2991.7311250028433
micro,32,64,14,14,4,True,4,14,3146.1413750002976
micro,32,64,14,14,4,True,4,15,3278.0937919960706
micro,32,64,14,14,4,True,4,16,3403.074000001652
micro,32,64,14,14,4,True,4,17,3552.913207997335
micro,32,64,14,14,4,True,4,18,3658.851957996376
micro,32,64,14,14,4,True,4,19,3809.001082998293
micro,32,64,14,14,4,True,4,20,3961.455416996614
micro,32,64,14,14,4,True,4,21,4081.9560829986585
micro,32,64,14,14,4,True,4,22,4207.361541994032
micro,32,64,14,14,4,True,4,23,4359.906334000698
micro,32,64,14,14,4,True,4,24,4500.29424999957
micro,32,64,14,14,4,True,4,25,4618.363875000796
micro,32,64,14,14,4,True,4,26,4877.91037500574
micro,32,64,14,14,4,True,4,27,4901.073624998389
micro,32,64,14,14,4,True,4,28,5006.113124996773
micro,32,64,14,14,4,True,4,29,5070.161124996957
